Nombre de la Entidad|Municipio Entidad|Departamento Entidad
META  ASOCIACIÓN DE MUNICIPIOS DEL ALTO ARIARI|Villavicencio|Meta
CASANARE  CONCEJO MUNICIPIO DE PAZ DE ARIPORO|Paz de Ariporo|Casanare
BOLIVAR FONDO ESPECIAL DE BOMBEROS CARTAGENA|Cartagena|Bolívar
GUAVIARE  ENERGUAVIARE SA ESP  SAN JOSÉ DEL GUAVIARE|San José del Guaviare|Guaviare
NARIÑO  INSTITUCION EDUCATIVA NUESTRA SEÑORA DE FATIMA|Córdoba|Nariño
BOYACÁ  GOBERNACIÓN|Tunja|Boyacá
BOLÍVAR  FONDO MUNICIPAL DE TRÁNSITO Y TRANSPORTE TERRESTRE DE MAGANGUÉ|Magangué|Bolívar
SUCRE  INSTITUCIÓN EDUCATIVA NUEVA ESPERANZA  SINCELEJO|Sincelejo|Sucre
BOGOTÁ DC  IED GERARDO PAREDES|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  HOSPITAL SAN RAFAEL DE ZARZAL|Zarzal|Valle del Cauca
VALLE DEL CAUCA  CONCEJO MUNICIPIO DE SANTIAGO DE CALI|Cali|Valle del Cauca
ANTIOQUIA  ESE HOSPITAL FRANCISCO LUIS JIMÉNEZ MARTÍNEZ  CAREPA|Carepa|Antioquia
VALLE DEL CAUCA  ESE RED DE SALUD DEL ORIENTE  CALI|Cali|Valle del Cauca
FONDO NACIONAL DE GESTIÓN DEL RIESGO DE DESASTRES  FIDUCIARIA LA PREVISORA SA|Bogotá D.C.|Bogotá D.C.
SANTANDER  IMEBU  INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL DEL MUNICIPIO DE BUCARAMANGA|Bucaramanga|Santander
VALLE DEL CAUCA  INSTITUCION EDUCATIVA EL RODEO  JAMUNDI|Jamundi|Valle del Cauca
RISARALDA  INSTITUCIÓN EDUCATIVA INSTITUTO INTEGRADO IRRA|Quinchía|Risaralda
HUILA  ALCALDÍA MUNICIPIO DE SALADOBLANCO|Saladoblanco|Huila
BOGOTÁ DC  ALCALDÍA LOCAL DE USME|Bogotá D.C.|Bogotá D.C.
LA GUAJIRA  ESE HOSPITAL ARMANDO PABON LOPEZ|Manaure|La Guajira
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE ARBOLEDAS|Arboledas|Norte De Santander
ANTIOQUIA  FONDO DE VIVIENDA DE INTERÉS SOCIAL Y REFORMA URBANA DE SABANETA|Sabaneta|Antioquia
BOGOTÁ DC  IED ATENAS|Bogotá D.C.|Bogotá D.C.
HUILA  INSTITUCION EDUCATIVA JORGE ELIECER GAITAN  GIGANTE|Gigante|Huila
VALLE DEL CAUCA  ESE HOSPITAL SAN VICENTE FERRER   ANDALUCÍA|Andalucía|Valle del Cauca
ANTIOQUIA  PERSONERÍA MUNICIPIO DE ENVIGADO|Envigado|Antioquia
CESAR  ESE HOSPITAL TAMALAMEQUE|Tamalameque|Cesar
SANTANDER  INSTITUTO MIGUEL SÁNCHEZ HINESTROZA|Girón|Santander
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL PUBENZA  TOCAIMA|Tocaima|Cundinamarca
GUAINÍA  EMPRESA DE ENERGÍA DEL GUAINÍA LA CEIBA SA ESP|Inírida|Guainía
BOGOTÁ DC  IED COLEGIO ORLANDO FALS BORDA|Bogotá D.C.|Bogotá D.C.
CESAR  EMPRESA DE SERVICIOS PÚBLICOS DE SAN DIEGO ESP EMPOSANDIEGO|San Diego|Cesar
BOGOTÁ DC  IED SOTAVENTO|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  PERSONERÍA MUNICIPIO DE GINEBRA|Ginebra|Valle del Cauca
HUILA   IE CANSARROCINES  LA PLATA|La Plata|Huila
LA GUAJIRA  INSTITUCIÓN EDUCATIVA ROQUE DE ALBA|Villanueva|La Guajira
META  PERSONERÍA MUNICIPIO DE ACACIAS|Acacías|Meta
CESAR  EMPRESA DE SERVICIOS PUBLICOS DE AGUSTIN CODAZZI EMCODAZZI ESP  AGUSTIN CODAZZI|Agustín Codazzi|Cesar
ATLÁNTICO  UNIDAD PRESTADORA DEL SERVICIO PÚBLICO DOMICILIARIO DE ACUEDUCTO DE MANATÍ|Manatí|Atlántico
NARIÑO  CONCEJO MUNICIPIO DE EL TAMBO|El Tambo|Nariño
ANTIOQUIA  CORPORACIÓN HOSPITAL SAN JUAN DE DIOS  UNIREMINGTON SANTA ROSA DE OSOS|Santa Rosa de Osos|Antioquia
BOGOTÁ DC  SECRETARÍA DE INTEGRACIÓN SOCIAL|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  ALCALDÍA MUNICIPIO DE GUATAPÉ|Guatapé|Antioquia
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE CÁQUEZA|Caqueza|Cundinamarca
GUAVIARE  ESE RED DE SERVICIOS DE SALUD DE PRIMER NIVEL|San José del Guaviare|Guaviare
MAGDALENA  CONCEJO DISTRITAL DE SANTA MARTA|Santa Marta|Magdalena
BOLÍVAR  ESE HOSPITAL LOCAL  SANTA ROSA DE LIMA|Santa Rosa de Lima|Bolívar
CUNDINAMARCA  EMPRESA DE SERVICIOS PÚBLICOS DE GUADUAS SA ESP AGUAS DEL CAPIRA SA ESP  GUADUAS|Guaduas|Cundinamarca
CASANARE  ALCALDÍA MUNICIPIO DE TAURAMENA|Tauramena|Casanare
BOGOTÁ DC  IED SAN RAFAEL|Bogotá D.C.|Bogotá D.C.
BOGOTÁ DC  IED MIGUEL DE CERVANTES SAAVEDRA|Bogotá D.C.|Bogotá D.C.
META  ESE HOSPITAL DEPARTAMENTAL DE GRANADA|Granada|Meta
TOLIMA  ESE HOSPITAL SAN ROQUE  ALVARADO|Ambalema|Tolima
NORTE DE SANTANDER  ASAMBLEA DEPARTAMENTAL DE NORTE DE SANTANDER|San José de Cúcuta|Norte De Santander
RISARALDA  INSTITUCIÓN EDUCATIVA GUILLERMO HOYOS SALAZAR  PEREIRA|Pereira|Risaralda
SUCRE  INSTITUCIÓN EDUCATIVA TÉCNICO AGROPECUARIO GUILLERMO PATRÓN  COROZAL|Corozal|Sucre
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA RAFAEL NAVIA VARON  CALI|Cali|Valle del Cauca
BOLÍVAR  INSTITUCIÓN EDUCATIVA JOHN F KENNEDY|Cartagena|Bolívar
SANTANDER  CONCEJO MUNICIPIO LA BELLEZA|La Belleza|Santander
META  INSTITUCIÓN EDUCATIVA COLEGIO JUAN PABLO II|Villavicencio|Meta
VALLE DEL CAUCA   INSTITUCION EDUCATIVA LA CONSOLITA|Caicedonia|Valle del Cauca
RISARALDA  INSTITUCIÓN EDUCATIVA SAN CLEMENTE  GUÁTICA|Guática|Risaralda
SANTANDER  EMPRESA DE SERVICIOS PÚBLICOS DE BARICHARA EPB SA ESP  BARICHARA|Barichara|Santander
HUILA  INSTITUCIÓN EDUCATIVA SAN ISIDRO  ACEVEDO|Acevedo|Huila
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL DE BACHILLERATO TÉCNICO COMERCIAL DE TOCANCIPA|Tocancipá|Cundinamarca
NORTE DE SANTANDER  ESE HOSPITAL JUAN LUIS LONDOÑO  EL ZULIA|El Zulia|Norte De Santander
CÓRDOBA  ALCALDÍA MUNICIPIO DE MONTELIBANO|Montelíbano|Córdoba
BOGOTÁ DC  UNIVERSIDAD DISTRITAL FRANCISCO JOSÉ DE CALDAS|Bogotá D.C.|Bogotá D.C.
CESAR  ALCALDÍA MUNICIPIO DE PUEBLO BELLO|Pueblo Bello|Cesar
CALDAS  AGUAS DE MANIZALES SA ESP|Manizales|Caldas
ANTIOQUIA  MUNICIPIOS ASOCIADOS PARA EL DESARROLLO DEL NORTE DE ANTIOQUIA|Entrerrios|Antioquia
SANTANDER  ALCALDÍA MUNICIPIO DE COROMORO|Coromoro|Santander
HUILA  INSTITUCIÓN EDUCATIVA CEINAR|Neiva|Huila
NARIÑO  ALCALDÍA MUNICIPIO DE PUPIALES|Pupiales|Nariño
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE BUCARASICA|Bucarasica|Norte De Santander
BOYACÁ  ALCALDÍA MUNICIPIO DE GUAYATÁ|Guayatá|Boyacá
ATLÁNTICO  UNIVERSIDAD DEL ATLÁNTICO|Barranquilla|Atlántico
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA SANTA MARTA  EL AGUILA|El Águila|Valle del Cauca
HUILA  ESE HOSPITAL SAN ANTONIO  GIGANTE|Gigante|Huila
