Nombre de la Entidad|Municipio Entidad|Departamento Entidad
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA PANEBIANCO AMERICANO  CANDELARIA|Candelaria|Valle del Cauca
ANTIOQUIA  PERSONERIA MUNICIPAL DE SALGAR|Salgar|Antioquia
CAQUETÁ  INSTITUTO DEPARTAMENTAL DE TRANSITO Y TRANSPORTE|Cartagena del Chairá|Caquetá
PUTUMAYO  RESGUARDO YO CABILDO INDIGENA KAMENTSA BIYA DEL MUNCIPIO DE MOCOA|San Miguel de Mocoa|Putumayo
ANTIOQUIA  PERSONERÍA MUNICIPIO DE DON MATIAS|Don Matías|Antioquia
TOLIMA  CONCEJO MUNICIPAL DE SUÁREZ|Suárez|Tolima
BOLIVARCONCEJO MUNICIPAL DE SAN CRISTOBAL|San Cristóbal|Bolívar
LA GUAJIRA  INSTITUCION EDUCATIVA ECOLOGICA EL CARMEN|Riohacha|La Guajira
CAQUETÁ  IE SAN LUIS  BELEN|Belén de Los Andaquies|Caquetá
LA GUAJIRA  CENTRO EDUCATIVO INDÍGENA NÚMERO DIEZ  MAICAO|Maicao|La Guajira
ANTIOQUIA  INSTITUCION EDUCATIVA ANTONIO ROLDAN BETANCUR  BRICEÑO|Briceño|Antioquia
COMPAÑÍA COLOMBIANA DE SERVICIOS DE VALOR AGREGADO Y TELEMÁTICOS SA ESP  COLVATEL|Bogotá D.C.|Bogotá D.C.
GUAVIARE  AGUAS DEL GUAVIARE SA ESP|San José del Guaviare|Guaviare
BOLÍVAR  CONCEJO MUNICIPAL SANTA CATALINA|Santa Catalina|Bolívar
ATLÁNTICO  INSTITUCIÓN EDUCATIVA TECNICO AGROPECUARIA DE PUERTO GIRALDO  PONEDERA|Ponedera|Atlántico
LA GUAJIRA  INSTITUCIÓN EDUCATIVA INDÍGENA NÚMERO DOS  MAICAO|Maicao|La Guajira
ANTIOQUIA  PERSONERÍA MUNICIPIO DE REMEDIOS|Remedios|Antioquia
HUILA  PERSONERÍA MUNICIPIO DE SUAZA|Suaza|Huila
HUILA  ALCALDÍA MUNICIPIO DE PALESTINA|Palestina|Huila
NORTE DE SANTANDER  LOTERÍA DE CÚCUTA|San José de Cúcuta|Norte De Santander
CALDAS  DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS|Manizales|Caldas
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE VILLETA|Villeta|Cundinamarca
NARIÑO  ALCALDÍA MUNICIPIO DE ANCUYA|Ancuyá|Nariño
LA GUAJIRA  ALCALDÍA MUNICIPIO DE ALBANIA|Albania|La Guajira
ANTIOQUIA  INSTITUCIÓN EDUCATIVA SAN JOSÉ OBRERO|Santafé de Antioquia|Antioquia
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA EVA RIASCOS PLATA  CALI|Cali|Valle del Cauca
SUCRE  CENTRO EDUCATIVO AGUACATE  SAN ONOFRE|San Onofre|Sucre
CASANARE  ALCALDÍA MUNICIPIO DE PAZ DE ARIPORO|Paz de Ariporo|Casanare
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA ARTURO MEJIA JARAMILLO  LÉRIDA|Lérida|Tolima
BOLÍVAR  ALCALDÍA MUNICIPIO DE SAN JACINTO DEL CAUCA|San Jacinto del Cauca|Bolívar
MAGDALENA  ESE HOSPITAL SAN PEDRO  EL PIÑON|El Piñon|Magdalena
SUCRE  ESE CENTRO DE SALUD SANTA LUCIA  BUENAVISTA|Buenavista|Sucre
BOYACÁ  INSTITUCION EDUCATIVA TECNICA SAN PEDRO DE IGUAQUE   CHIQUIZA|Chíquiza (San Pedro de Iguaque)|Boyacá
SUCRE  INSTITUTO MUNICIPAL DEL DEPORTE  IMDERCOR  COROZAL|Corozal|Sucre
SANTANDER  ESE BLANCA ALICIA HERNANDEZ  ALBANIA|Albania|Santander
NARIÑO  INSTITUTO DE DEPORTE Y RECREACION DEL MUNICIPIO DEL CHARCO|El Charco|Nariño
BOLÍVAR  ALCALDÍA MUNICIPIO DE ACHI|Achí|Bolívar
QUINDÍO  EMPRESAS PÚBLICAS DE ARMENIA|Armenia|Quindío
SANTANDER  CORPORACION CENTRO PROVINCIAL DE GESTION AGROEMPRESARIAL DE LA PROVINCIA DE GARCIA ROVIRA|Rovira|Tolima
ANTIOQUIA  ESE HOSPITAL SAN MIGUEL  OLAYA|Olaya|Antioquia
ANTIOQUIA  INSTITUCIÓN EDUCATIVA MARÍA JESÚS MEJÍA  ITAGÜÍ|Itagüí|Antioquia
NARIÑO  INSTITUCIÓN EDUCATIVA MUNICIPAL CIUDADELA EDUCATIVA DE PASTO|Pasto|Nariño
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA ALFONSO ARANGO TORO|El Líbano|Tolima
BOGOTÁ DC  IED COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA|Bogotá D.C.|Bogotá D.C.
NARIÑO  INSTITUCIÓN EDUCATIVA NORMAL SUPERIOR PIO XII  PUPIALES|Pupiales|Nariño
ANTIOQUIA  INSTITUCIÓN EDUCATIVA JOSÉ ASUNCIÓN SILVA  MEDELLÍN|Medellín|Antioquia
NARIÑO  INSTITUCIÓN EDUCATIVA INMACULADA CONCEPCIÓN DE TALLAMBI  CUMBAL|Cumbal|Nariño
CASANARE  CAMARA DE COMERCIO|Yopal|Casanare
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN LUIS|San Luis|Antioquia
SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO SUPERINDUSTRIA|Bogotá D.C.|Bogotá D.C.
NORTE DE SANTANDER  ESE IMSALUD  CÚCUTA|San José de Cúcuta|Norte De Santander
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN ANDRÉS DE CUERQUIA|San Andrés de Cuerquia|Antioquia
CAQUETÁ  ALCALDÍA MUNICIPIO DE ALBANIA|Albania|Caquetá
CÓRDOBA  EMPRESA SOCIAL DEL ESTADO CAMU PUERTO ESCONDIDO|Puerto Escondido|Córdoba
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA FRANCISCO DE PAULA SANTANDER  LA CUMBRE|La Cumbre|Valle del Cauca
HUILA  ALCALDÍA MUNICIPIO DE OPORAPA|Oporapa|Huila
BOYACÁ  ALCALDÍA MUNICIPIO DE BELÉN|Belén|Boyacá
BOGOTÁ DC  AGUAS DE BOGOTÁ SA ESP  BOGOTÁ DC|Bogotá D.C.|Bogotá D.C.
NARIÑO  ESE JUAN PABLO II|Linares|Nariño
CESAR  ALCALDÍA MUNICIPIO DE PAILITAS|Pailitas|Cesar
TOLIMA  INSTITUCIÓN EDUCATIVA GONZALO JIMENEZ DE QUESADA  MARIQUITA|San Sebastian de Mariquita|Tolima
GUAINÍA  ALCALDÍA MUNICIPIO DE INÍRIDA|Inírida|Guainía
NARIÑO  ESE CENTRO DE SALUD SAN MIGUEL  ARBOLEDA|Arboleda|Nariño
SANTANDER  PERSONERÍA MUNICIPIO DE GIRON|Girón|Santander
BOGOTÁ DC  IED JOHN F KENNEDY|Bogotá D.C.|Bogotá D.C.
TOLIMA  EMPRESA DE SERVICIOS PUBLICOS DE LERIDA EMPOLERIDA ESP|Lérida|Tolima
META  UNIVERSIDAD DE LOS LLANOS  VILLAVICENCIO|Villavicencio|Meta
CALDAS  INSTITUCIÓN EDUCATIVA LA IBERIA  RIOSUCIO|Riosucio|Caldas
ANTIOQUIA  INSTITUCIÓN EDUCATIVA ASIA IGNACIANA  MEDELLÍN|Medellín|Antioquia
BOGOTÁ DC  TERMINAL DE TRANSPORTE SA|Bogotá D.C.|Bogotá D.C.
PUTUMAYO  INSTITUCION EDUCATIVA RURAL MAYOYOQUE  PUERTO GUZMAN|Puerto Guzmán|Putumayo
CUNDINAMARCA  CONCEJO MUNICIPIO DE MADRID|Madrid|Cundinamarca
TOLIMA  INSTITUCIÓN EDUCATIVA ANAIME DE CAJAMARCA|Cajamarca|Tolima
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SABANETA|Sabaneta|Antioquia
ANTIOQUIA  ALCALDÍA MUNICIPIO DE GUARNE|Guarne|Antioquia
CALDAS  ALCALDÍA MUNICIPIO DE LA DORADA|La Dorada|Caldas
BOYACÁ  CÁMARA DE COMERCIO  TUNJA|Tunja|Boyacá
CASANARE  ALCALDÍA MUNICIPIO DE MONTERREY|Monterrey|Casanare
VALLE DEL CAUCA  ESE HOSPITAL LA BUENA ESPERANZA DE YUMBO  YUMBO|Yumbo|Valle del Cauca
SANTANDER  ALCALDÍA MUNICIPIO DE SAN GIL|San Gil|Santander
CÓRDOBA  ALCALDÍA MUNICIPIO DE SAN ANDRÉS DE SOTAVENTO|San Andrés Sotavento|Córdoba
BOGOTÁ DC  ALCALDÍA LOCAL DE SUBA|Bogotá D.C.|Bogotá D.C.
META  EMPRESA MUNICIPAL DE SERVICIOS PÚBLICOS DE GRANADA|Granada|Meta
META  INSTITUCIÓN UNIDAD EDUCATIVA SEIS DE ABRIL  VILLAVICENCIO|Villavicencio|Meta
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL GAZATAVENA  MEDINA|Medina|Cundinamarca
HUILA  INSTITUCIÓN  EDUCATIVA MUNICIPAL INNIPEG  PITALITO|Pitalito|Huila
ANTIOQUIA  ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN  EL BAGRE|El Bagre|Antioquia
CÓRDOBA  ASAMBLEA DEPARTAMENTAL|Montería|Córdoba
CALDAS  INSTITUCION EDUCATIVA GENERAL RAMON MARÍN  MARMATO|Marmato|Caldas
BOGOTÁ DC  IED SAN CRISTOBAL SUR|Bogotá D.C.|Bogotá D.C.
ARAUCA  INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL FROILAN FARIAS  TAME|Tame|Arauca
ATLÁNTICO  COLEGIO DISTRITAL CAMILO TORRES TENORIO  BARRANQUILLA|Barranquilla|Atlántico
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA GENERAL ROBERTO LEYVA  SALDAÑA|Saldaña|Tolima
BOLÍVAR  INSTITUCIÓN EDUCATIVA TÉCNICA ACUÍCOLA SAGRADO CORAZÓN DE JESÚS  ZAMBRANO|Zambrano|Bolívar
SANTANDER  COLEGIO METROPOLITANO DEL SUR  FLORIDABLANCA|Floridablanca|Santander
NARIÑO  INSTITUCIÓN EDUCATIVA EL MANZANO  TAMINANGO|Taminango|Nariño
CALDAS  EMPRESA DE SERVICIOS PÚBLICOS DE LA DORADA ESP|La Dorada|Caldas
CÓRDOBA  CUERPO DE BOMBEROS OFICIAL DE MONTERÍA|Montería|Córdoba
CESAR  UNIDAD DE SERVICIOS PÚBLICOS DOMICILIARIOS DEL MUNICIPIO DE CHIRIGUANÁ|Chiriguaná|Cesar
ANTIOQUIA   INSTITUCIÓN EDUCATIVA HERNÁN VILLA BAENA  BELLO|Bello|Antioquia
BOYACÁ  CONCEJO MUNICIPIO DE EL ESPINO|El Espino|Boyacá
CESAR  INSTITUCIÓN EDUCATIVA ANTONI GALO LAFAURIE CELEDON  AGUSTIN CODAZZI|Agustín Codazzi|Cesar
NARIÑO  ALCALDÍA MUNICIPIO DE IPIALES|Ipiales|Nariño
CÓRDOBA  ESE HOSPITAL SAN JERÓNIMO  MONTERÍA|Montería|Córdoba
CESAR  CÁMARA DE COMERCIO DE VALLEDUPAR|Valledupar|Cesar
CAUCA  ALCALDÍA MUNICIPIO DE SANTA ROSA|Santa Rosa|Cauca
PUTUMAYO  ALCALDÍA MUNICIPIO DE SAN FRANCISCO|San Francisco|Putumayo
AMAZONAS  ALCALDÍA MUNICIPIO DE PUERTO NARIÑO|Puerto Nariño|Amazonas
SANTANDER  PERSONERÍA MUNICIPIO DE AGUADA|Aguada|Santander
RISARALDA  ESE HOSPITAL SAN PEDRO Y SAN PABLO  LA VIRGINIA|La Virginia|Risaralda
HUILA   EMPRESA PUBLICAS DE TELLO SAS ESP|Tello|Huila
BOGOTÁ DC  ALCALDÍA LOCAL RAFAEL URIBE URIBE|Bogotá D.C.|Bogotá D.C.
ATLÁNTICO  CONTRALORÍA DISTRITAL DE BARRANQUILLA|Barranquilla|Atlántico
SANTANDER  ESE HOSPITAL REGIONAL DEL MAGDALENA MEDIO|Barrancabermeja|Santander
PUTUMAYO  INSTITUTO TECNOLÓGICO DEL PUTUMAYO|San Miguel de Mocoa|Putumayo
SANTANDER  SOCIEDAD AGUAS DEL SOCORRO SA ESP|Socorro|Santander
VALLE DEL CAUCA  CONTRALORÍA DISTRITAL DE BUENAVENTURA|Buenaventura|Valle del Cauca
NARIÑO  ALCALDÍA MUNICIPIO DE EL TAMBO|El Tambo|Nariño
BOGOTÁ DC  ALCALDÍA LOCAL DE SANTA FÉ|Bogotá D.C.|Bogotá D.C.
CALDAS  IE INSTITUTO TÉCNICO MARCO FIDEL SUAREZ  MANIZALES|Manizales|Caldas
CAQUETÁ  AGUA RICA AAA SA ESP  PUERTO RICO|Puerto Rico|Caquetá
ANTIOQUIA  EMPRESAS PÚBLICAS DE URRAO ESP|Urrao|Antioquia
TOLIMA  ALCALDÍA MUNICIPIO DE CASABIANCA|Casabianca|Tolima
ANTIOQUIA  INSTITUCIÓN EDUCATIVA JOSÉ MANUEL RESTREPO VÉLEZ JOMAR  ENVIGADO|Envigado|Antioquia
ANTIOQUIA  CAMARA DE COMERCIO DEL MAGDALENA MEDIO Y NORDESTE ANTIOQUEÑO|Puerto Berrío|Antioquia
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA LA ESPERANZA  CALI|Cali|Valle del Cauca
NARIÑO  CÁMARA DE COMERCIO DE PASTO|Pasto|Nariño
CUNDINAMARCA  EMPRESA DE SERVICIOS PUBLICOS  PUERTO SALGAR|Puerto Salgar|Cundinamarca
NARIÑO  INSTITUCIÓN EDUCATIVA MUNICIPAL LIBERTAD|Pasto|Nariño
CAQUETÁ  INSTITUTO MUNICIPAL DE CULTURA RECREACIÓN DEPORTE Y TURISMO  CARTAGENA DEL CHAIRÁ|Cartagena del Chairá|Caquetá
CASANARE  CONTRALORÍA DEPARTAMENTAL DE CASANARE|Yopal|Casanare
CALDAS  INSTITUCIÓN EDUCATIVA LICEO CLAUDINA MUNERA  AGUADAS|Aguadas|Caldas
LA GUAJIRA  CONTRALORÍA DEPARTAMENTAL DE LA GUAJIRA|Riohacha|La Guajira
GUAINÍA  PERSONERÍA MUNICIPIO DE INIRIDA|Inírida|Guainía
ANTIOQUIA  FONDO DE VIVIENDA DE INTERES SOCIAL Y REFORMA URBANA EL BAGRE|El Bagre|Antioquia
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE CAICEDONIA|Caicedonia|Valle del Cauca
MINISTERIO DE EDUCACIÓN NACIONAL MEN|Bogotá D.C.|Bogotá D.C.
NARIÑO  ESE CENTRO DE SALUD SAN ISIDRO  EL PEÑOL|El Peñol|Nariño
BOYACÁ  ALCALDÍA MUNICIPIO DE VENTAQUEMADA|Ventaquemada|Boyacá
ANTIOQUIA  INSTITUTO DE DEPORTE Y RECREACIÓN DE MARINILLA  INDERMA|Marinilla|Antioquia
RISARALDA  CONCEJO MUNICIPIO DE PEREIRA|Pereira|Risaralda
CONGRESO DE LA REPÚBLICA SENADO|Bogotá D.C.|Bogotá D.C.
ARAUCA  ALCALDÍA MUNICIPIO DE ARAUCA|Arauca|Arauca
QUINDÍO  INSTITUCIÓN EDUCATIVA BOSQUES DE PINARES  ARMENIA|Armenia|Quindío
AGENCIA DE DESARROLLO RURAL   ADR|Bogotá D.C.|Bogotá D.C.
FONDO DE INVERSIÓN PARA LA PAZ|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  ESTABLECIMIENTO PÚBLICO AMBIENTAL EPA  BUENAVENTURA|Buenaventura|Valle del Cauca
SANTANDER  CASA DE LA CULTURA PIEDRA DEL SOL DE FLORIDABLANCA|Floridablanca|Santander
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE UNE|Une|Cundinamarca
CALDAS  AGUAS MANANTIALES DE PACORA SA ESP|Pácora|Caldas
BOGOTÁ DC  CANAL CAPITAL|Bogotá D.C.|Bogotá D.C.
BOLÍVAR  ALCALDÍA MUNICIPIO DE TURBANÁ|Turbaná|Bolívar
BOYACÁ  ALCALDÍA MUNICIPIO DE PAYA|Paya|Boyacá
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA PRESBITERO HORACIO GOMEZ GALLO  JAMUNDI|Jamundi|Valle del Cauca
BOYACÁ  INSTITUCIÓN EDUCATIVA RURAL DEL SUR|Tunja|Boyacá
BOGOTÁ DC  IED COLEGIO FERNANDO SOTO APARICIO|Bogotá D.C.|Bogotá D.C.
MAGDALENA  PERSONERÍA DISTRITAL DE SANTA MARTA|Santa Marta|Magdalena
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA ROSA ZARATE DE PEÑA  YUMBO|Yumbo|Valle del Cauca
TOLIMA  HOSPITAL SAN ANTONIO ESE NATAGAIMA|Natagaima|Tolima
BOYACÁ  ALCALDÍA MUNICIPIO DE IZA|Iza|Boyacá
INSTITUCION EDUCATIVA JOSE ANTONIO LLORENTE|Cumbal|Nariño
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA ANCHIQUE|Natagaima|Tolima
CHOCÓ  NUEVA ESE HOSPITAL DEPARTAMENTAL SAN FRANCÍSCO DE ASÍS DE QUIBDO|Quibdó|Chocó
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA SAN LUIS GONZAGA  ESPINAL|El Espinal|Tolima
TOLIMA  INSTITUCIÓN EDUCATIVA FRANCISCO HURTADO  VENADILLO|Venadillo|Tolima
ATLÁNTICO  CONTRALORÍA MUNICIPAL DE SOLEDAD|Soledad|Atlántico
HUILA  INSTITUCIÓN EDUCATIVA GAUCIRCO|Neiva|Huila
HUILA  INSTITUCIÓN EDUCATIVA ATANASIO GIRARDOT  NEIVA|Neiva|Huila
ARAUCA  INSTITUTO DE MOVILIDAD Y TRANSPORTE DEL MUNICIPIO DE TAME ARAUCA|Tame|Arauca
CALDAS  INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR MARIA ESCOLASTICA  SALAMINA|Salamina|Caldas
TOLIMA  UNIDAD DE SALUD DE IBAGUÉ|Dosquebradas|Risaralda
ANTIOQUIA  ALCALDÍA MUNICIPIO DE LA PINTADA|La Pintada|Antioquia
META  INSTITUCIÓN EDUCATIVA LUIS CARLOS GALÁN SARMIENTO  VILLAVICENCIO|Villavicencio|Meta
ANTIOQUIA  ALCALDÍA MUNICIPIO DE DABEIBA|Dabeiba|Antioquia
CORPORACIÓN AUTÓNOMA REGIONAL DEL GUAVIO|Gachalá|Cundinamarca
ARAUCA  INSTITUCIÓN EDUCATIVA GUSTAVO VILLA DÍAZ|Arauca|Arauca
ANTIOQUIA  ESE HOSPITAL GERMÁN VÉLEZ GUTIÉRREZ  BETULIA|Betulia|Antioquia
RISARALDA  EMPRESAS PÚBLICAS MUNICIPALES DE QUINCHÍA ESP|Quinchía|Risaralda
SANTANDER  COLEGIO SAN CARLOS  SAN GIL|San Gil|Santander
MAGDALENA   ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN  GUAMAL|Guamal|Magdalena
ATLÁNTICO  EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL DE GALAPA|Galapa|Atlántico
SANTANDER  ESE COROMORO|Coromoro|Santander
CAUCA  ALCALDÍA MUNICIPIO DE BALBOA|Balboa|Cauca
SANTANDER  ALCALDÍA MUNICIPIO DE MACARAVITA|Macaravita|Santander
BOLÍVAR  CONCEJO MUNICIPIO DE MAGANGUÉ|Magangué|Bolívar
NARIÑO  SISTEMA ESTRATÉGICO DE TRANSPORTE PÚBLICO DE PASAJEROS PARA LA CIUDAD DE PASTO|Pasto|Nariño
BOYACÁ  INSTITUCIÓN EDUCATIVA GUSTAVO ROMERO HERNANDEZ  TIBANÁ|Tibaná|Boyacá
TOLIMA  ALCALDÍA MUNICIPIO DE DOLORES|Dolores|Tolima
ARAUCA  INSTITUCIÓN EDUCATIVA SAN LUIS  TAME|Tame|Arauca
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL DONALD RODRIGO TAFUR  CALI|Cali|Valle del Cauca
SANTANDER  EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS DE ACUEDUCTO ALCANTARILLADO Y ASEO SANTA HELENA AAA SA ESP  SANTA HELENA DEL OPÓN|Santa Helena del Opón|Santander
SANTANDER  ESE HOSPITAL LOCAL DE SUCRE|Sucre|Santander
BOGOTÁ DC  IED LA ESTANCIA  SAN ISIDRO|Bogotá D.C.|Bogotá D.C.
SANTANDER  ESE SAN JOSÉ DE FLORIÁN|Florián|Santander
VALLE DEL CAUCA  EMPRESAS VARIAS DE CAICEDONIA|Caicedonia|Valle del Cauca
ATLÁNTICO  CENTRO COMUNITARIO DE EDUCACIÓN BÁSICA Y MEDIA No 187 CÍVICO 7 DE ABRIL  BARRANQUILLA|Barranquilla|Atlántico
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL COLEGIO TÉCNICO COMERCIAL ANA FRANCISCA LARA  PACHO|Pacho|Cundinamarca
META  IE COLEGIO DEPARTAMENTAL GILBERTO ALZATE AVENDAÑO  VILLAVICENCIO|Villavicencio|Meta
CÓRDOBA  INSTITUCIÓN EDUCATIVA JUAN XXIII  MONTERÍA|Montería|Córdoba
CESARINSTITUCION EDUCATIVA ALFONSO LOPEZ PUMAREJOVALLEDUPAR|Valledupar|Cesar
BOGOTÁ DC  IED RICAURTE CONCEJO|Bogotá D.C.|Bogotá D.C.
BOGOTÁ  CÁMARA DE COMERCIO DE BOGOTÁ|Bogotá D.C.|Bogotá D.C.
TOLIMA  NUEVO HOSPITAL LA CANDELARIA  PURIFICACIÓN|Purificación|Tolima
CUNDINAMARCA  ESE HOSPITAL SAN RAFAEL DE FUSAGASUGÁ|Fusagasugá|Cundinamarca
LA GUAJIRA  CONCEJO MUNICIPAL DE RIOHACHA|Riohacha|La Guajira
CAUCA  ALCALDÍA MUNICIPIO DE MIRANDA|Miranda|Cauca
ANTIOQUIA  ALCALDÍA MUNICIPIO DE RIONEGRO|Rionegro|Antioquia
CÓRDOBA  ALCALDÍA MUNICIPIO DE CERETÉ|Cereté|Córdoba
CALDAS  INSTITUCIÓN EDUCATIVA MARÍA FABIOLA LARGO CANO  RIOSUCIO|Riosucio|Caldas
INSTITUTO COLOMBIANO DE CRÉDITO EDUCATIVO Y ESTUDIOS TÉCNICOS EN EL EXTERIOR ICETEX|Bogotá D.C.|Bogotá D.C.
BOGOTÁ DC  IED LA AURORA|Bogotá D.C.|Bogotá D.C.
LA GUAJIRA  ESE HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO  URIBIA|Uribia|La Guajira
CUNDINAMARCA  INSTITUTO MUNICIPAL DE RECREACIÓN Y DEPORTES DE SOACHA|Soacha|Cundinamarca
MAGDALENA  ALCALDÍA MUNICIPIO DE ZONA BANANERA|Zona Bananera|Magdalena
BOYACÁ  HOGAR DE BIENESTAR DEL ADULTO MAYOR Y CENTRO VIDA EL BUEN CONSEJO DE JENESANO|Jenesano|Boyacá
TOLIMA  INSTITUCIÓN EDUCATIVA EL QUEBRADON  RIOBLANCO|Rioblanco|Tolima
META  INSTITUCION EDUCATIVA GABRIELA MISTRAL  LEJANÍAS|Lejanías|Meta
CUNDINAMARCA  EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS DE GUATAVITA SA ESP|Guatavita|Cundinamarca
VALLE DEL CAUCA  FONDO ESPECIAL DE VIVIENDA DEL MUNICIPIO DE SANTIAGO DE CALI|Cali|Valle del Cauca
TOLIMA  INSTITUCIÓN EDUCATIVA TAPIAS  IBAGUÉ|Ibagué|Tolima
TOLIMA  INSTITUCIÓN EDUCATIVA NORMAL SUPERIOR  IBAGUÉ|Ibagué|Tolima
CALDAS  INSTITUCIÓN EDUCATIVA GUARINOCITO  LA DORADA|La Dorada|Caldas
SUCRE  INSTITUCIÓN EDUCATIVA LUIS PATRON ROSANO  SANTIAGO DE TOLU|Santiago de Tolú|Sucre
DIRECCIÓN GENERAL DE SANIDAD MILITAR|Bogotá D.C.|Bogotá D.C.
CALDAS  ALCALDÍA MUNICIPIO DE MARQUETALIA|Marquetalia|Caldas
CÓRDOBA  ESE CAMU DE BUENAVISTA|Buenavista|Córdoba
INSTITUTO NACIONAL DE SALUD INS|Bogotá D.C.|Bogotá D.C.
BOYACÁ  ALCALDÍA MUNICIPIO DE CHISCAS|Chiscas|Boyacá
SUCRE  ESE SAN JUAN DE BETULIA|Sucre|Sucre
COMANDO GENERAL DE LAS FUERZAS MILITARES|Bogotá D.C.|Bogotá D.C.
DEFENSA CIVIL COLOMBIANA DCC|Bogotá D.C.|Bogotá D.C.
SUCRE  ALCALDÍA MUNICIPIO DE SUCRE|Sucre|Sucre
TOLIMA  ALCALDÍA MUNICIPIO DE CHAPARRAL|Chaparral|Tolima
NARIÑO  ALCALDÍA MUNICIPIO DE COLÓN GÉNOVA|Colón|Nariño
BOYACÁ  ALCALDÍA MUNICIPIO DE AQUITANIA|Aquitania|Boyacá
NARIÑO  ESE CENTRO DE SALUD MUNICIPIO DE PROVIDENCIA  PROVIDENCIA|Providencia|Nariño
CAQUETÁ  ESE HOSPITAL COMUNAL LAS MALVINAS  FLORENCIA|Florencia|Caquetá
SANTANDER  INSTITUTO MUNICIPAL DE DEPORTE CULTURA RECREACIÓN Y TURISMO DE SABANA DE TORRES|Sabana de Torres|Santander
ADMINISTRADORA COLOMBIANA DE PENSIONES COLPENSIONES|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE RIOFRÍO|Riofrío|Valle del Cauca
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA ANTONIO NARIÑO  BUGALAGRANDE|Bugalagrande|Valle del Cauca
ANTIOQUIA  INSTITUCION EDUCATIVA ATANASIO GIRARDOT  BELLO|Bello|Antioquia
ANTIOQUIA  MUSEO CASA DE LA MEMORIA MCM  MEDELLÍN|Medellín|Antioquia
NARIÑO  ESE PASTO SALUD|Pasto|Nariño
TOLIMA  INSTITUCIÓN EDUCATIVA FERNANDO VILLALOBOS ARANGO|Ibagué|Tolima
HUILA  EMPRESA MUNICIPAL DE SERVICIOS PÚBLICOS EMPUBARAYA ESP  BARAYA|Baraya|Huila
CALDAS  ESE HOSPITAL SAN JOSE DE NEIRA|Neira|Caldas
MAGDALENA  PERSONERÍA MUNICIPIO DE PUEBLO VIEJO|Puebloviejo|Magdalena
NARIÑO  ORGANIZACIÓN DEPORTIVA DE CÓRDOBA  ORDECO|Córdoba|Nariño
SANTANDER  ESE HOSPITAL INTEGRADO SAN JUAN  CIMITARRA|Cimitarra|Santander
ANTIOQUIA  INSTITUCIÓN EDUCATIVA MAESTRO ARENAS BETANCUR  MEDELLÍN|Medellín|Antioquia
RISARALDA  INSTITUCIÓN EDUCATIVA SAN FRANCISCO DE ASÍS  PEREIRA|Pereira|Risaralda
BOYACÁ  CONCEJO MUNICIPAL COVARACHIA|Covarachía|Boyacá
HUILA  INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ  ACEVEDO|Pitalito|Huila
HUILA  INSTITUCIÓN EDUCATIVA JOSÉ  HILARIO LOPEZ  CAMPOALEGRE|Campoalegre|Huila
TOLIMA  INSTITUCIÓN EDUCATIVA EL BOSQUE  MURILLO|Murillo|Tolima
VALLE DEL CAUCA  SERVIULLOA ESP SA  ULLOA|Ulloa|Valle del Cauca
CÓRDOBA  ESE HOSPITAL SAN JORGE  AYAPEL|Ayapel|Córdoba
